filename,class,width,height,channels,aspect_ratio,total_pixels,file_size_mb,format
PAT_1946_3924_929.png,PAT_1946_3924_929.png,1232,1232,4,1.0,1517824,1.8584766387939453,PNG
PAT_1652_2915_65.png,PAT_1652_2915_65.png,521,521,3,1.0,271441,0.23680591583251953,PNG
PAT_649_1233_229.png,PAT_649_1233_229.png,750,750,3,1.0,562500,0.6952733993530273,PNG
PAT_2085_4506_726.png,PAT_2085_4506_726.png,1764,1764,4,1.0,3111696,4.077304840087891,PNG
PAT_373_2598_235.png,PAT_373_2598_235.png,1111,1111,3,1.0,1234321,1.0498332977294922,PNG
PAT_236_361_180.png,PAT_236_361_180.png,590,591,4,0.9983079526226735,348690,0.7073373794555664,PNG
PAT_1926_3871_371.png,PAT_1926_3871_371.png,1070,1070,3,1.0,1144900,0.8734397888183594,PNG
PAT_206_312_760.png,PAT_206_312_760.png,1029,1029,4,1.0,1058841,1.64044189453125,PNG
PAT_1495_1708_278.png,PAT_1495_1708_278.png,1049,1049,4,1.0,1100401,1.6467781066894531,PNG
PAT_411_815_692.png,PAT_411_815_692.png,406,406,3,1.0,164836,0.1965951919555664,PNG
PAT_87_133_391.png,PAT_87_133_391.png,247,247,4,1.0,61009,0.08281517028808594,PNG
PAT_343_717_927.png,PAT_343_717_927.png,860,860,4,1.0,739600,1.5265235900878906,PNG
PAT_1371_1278_533.png,PAT_1371_1278_533.png,1632,1632,4,1.0,2663424,2.376953125,PNG
PAT_1418_1448_307.png,PAT_1418_1448_307.png,330,330,3,1.0,108900,0.13020706176757812,PNG
PAT_1764_3335_803.png,PAT_1764_3335_803.png,307,308,4,0.9967532467532467,94556,0.2148914337158203,PNG
PAT_2151_4779_515.png,PAT_2151_4779_515.png,527,527,4,1.0,277729,0.4660358428955078,PNG
PAT_1184_678_86.png,PAT_1184_678_86.png,903,903,3,1.0,815409,0.851130485534668,PNG
PAT_1975_3999_453.png,PAT_1975_3999_453.png,1057,1057,4,1.0,1117249,1.0831327438354492,PNG
PAT_1122_479_664.png,PAT_1122_479_664.png,294,294,4,1.0,86436,0.19890499114990234,PNG
PAT_749_1415_164.png,PAT_749_1415_164.png,1796,1796,4,1.0,3225616,3.9690141677856445,PNG
PAT_1585_2619_396.png,PAT_1585_2619_396.png,751,751,3,1.0,564001,0.6143665313720703,PNG
PAT_93_361_467.png,PAT_93_361_467.png,380,380,3,1.0,144400,0.16573429107666016,PNG
PAT_650_3858_329.png,PAT_650_3858_329.png,552,553,4,0.9981916817359855,305256,0.3970928192138672,PNG
PAT_2016_4160_868.png,PAT_2016_4160_868.png,1208,1208,3,1.0,1459264,2.029067039489746,PNG
PAT_819_1541_727.png,PAT_819_1541_727.png,1097,1098,4,0.9990892531876139,1204506,2.0111122131347656,PNG
PAT_616_1169_3.png,PAT_616_1169_3.png,975,976,4,0.9989754098360656,951600,1.1760196685791016,PNG
PAT_701_4056_457.png,PAT_701_4056_457.png,1025,1025,4,1.0,1050625,2.0736637115478516,PNG
PAT_354_1814_726.png,PAT_354_1814_726.png,972,972,3,1.0,944784,0.7105846405029297,PNG
PAT_1582_2574_905.png,PAT_1582_2574_905.png,265,265,3,1.0,70225,0.1274881362915039,PNG
PAT_482_2928_201.png,PAT_482_2928_201.png,1181,1181,3,1.0,1394761,0.8972721099853516,PNG
PAT_1071_312_841.png,PAT_1071_312_841.png,337,337,4,1.0,113569,0.16046905517578125,PNG
PAT_1696_3115_917.png,PAT_1696_3115_917.png,481,481,4,1.0,231361,0.46907520294189453,PNG
PAT_2065_4413_298.png,PAT_2065_4413_298.png,753,752,4,1.0013297872340425,566256,0.5516128540039062,PNG
PAT_1709_3159_935.png,PAT_1709_3159_935.png,1048,1049,4,0.9990467111534795,1099352,1.3845767974853516,PNG
